"politician_id","riding_id","shortname","Parl","electedhist_id","party_id","end_date","start_date","partyname","partyabb","ridingname_en","province","riding_short","riding_current","member_id","Year","Date","hon_minstatus","hon_gender.y","name","name_given","name_family","dob"
1,59012,"jim-abbott",36,2481,28,"2000-10-22","1997-09-22","Reform Party","Reform","Kootenay--Columbia","BC","kootenay-columbia","t",2481,1997,"1997-09-25",FALSE,"M","Jim Abbott","Jim","Abbott","1942-08-18"
1,59012,"jim-abbott",37,1579,25,"2004-05-23","2001-01-29","Canadian Alliance","Alliance","Kootenay--Columbia","BC","kootenay-columbia","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,59012,"jim-abbott",38,1274,1,"2011-03-26","2004-10-04","Conservative","CPC","Kootenay--Columbia","BC","kootenay-columbia","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,70180,"jim-abbott",35,3084,28,"1997-04-27","1994-01-17","Reform Party","Reform","Kootenay East","BC","kootenay-east","f",3096,1996,"1996-11-04",FALSE,"M","Jim Abbott","Jim","Abbott","1942-08-18"
1,70180,"jim-abbott",35,3084,28,"1997-04-27","1994-01-17","Reform Party","Reform","Kootenay East","BC","kootenay-east","f",3274,1996,"1996-12-12",FALSE,"M","Jim Abbott","Jim","Abbott","1942-08-18"
1,70180,"jim-abbott",35,3084,28,"1997-04-27","1994-01-17","Reform Party","Reform","Kootenay East","BC","kootenay-east","f",3084,1994,"1994-01-19",FALSE,"M","Jim Abbott","Jim","Abbott","1942-08-18"
2,48005,"diane-ablonczy",36,2454,28,"2000-10-22","1997-09-22","Reform Party","Reform","Calgary Nose Hill","AB","calgary-nose-hill","t",2454,1997,"1997-09-25",FALSE,"F","Diane Ablonczy","Diane","Ablonczy","1949-05-06"
2,48005,"diane-ablonczy",37,1551,25,"2004-05-23","2001-01-29","Canadian Alliance","Alliance","Calgary Nose Hill","AB","calgary-nose-hill","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
2,48005,"diane-ablonczy",38,1243,1,"2015-10-19","2004-10-04","Conservative","CPC","Calgary Nose Hill","AB","calgary-nose-hill","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
2,70171,"diane-ablonczy",35,3052,28,"1997-04-27","1994-01-17","Reform Party","Reform","Calgary North","AB","calgary-north","f",3052,1994,"1994-06-21",FALSE,"F","Diane Ablonczy","Diane","Ablonczy","1949-05-06"
2,70171,"diane-ablonczy",35,3052,28,"1997-04-27","1994-01-17","Reform Party","Reform","Calgary North","AB","calgary-north","f",3052,1995,"1995-05-11",FALSE,"F","Diane Ablonczy","Diane","Ablonczy","1949-05-06"
2,70171,"diane-ablonczy",35,3052,28,"1997-04-27","1994-01-17","Reform Party","Reform","Calgary North","AB","calgary-north","f",3271,1995,"1995-05-08",FALSE,"F","Diane Ablonczy","Diane","Ablonczy","1949-05-06"
